customer_id,company_name,industry,subscription_tier,annual_recurring_revenue,renewal_days,health_score,health_status,primary_risk_reasons,recommended_action,salesforce_update_date
CUST-100018,"Johnston, Gonzalez and Smith",Healthcare,Professional,190349,223,66.2,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100019,Gonzales Inc,Education,Starter,105665,321,60.6,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100020,"Silva, Glover and Ortiz",Manufacturing,Enterprise,208038,272,56.4,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100021,West-Smith,Healthcare,Professional,22211,158,65.0,Watch,Negative NPS,Monitor,2026-06-27
CUST-100022,Terry LLC,Healthcare,Enterprise,266798,65,58.2,Watch,Low feature adoption; Upcoming renewal,Schedule product enablement session,2026-06-27
CUST-100023,"Nguyen, Boyd and Hall",Education,Professional,288653,109,49.3,At Risk,No recent CSM touch,Prioritize CSM outreach and create success plan,2026-06-27
CUST-100024,Freeman-Freeman,Technology,Enterprise,175429,333,56.9,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100025,"Rush, Miller and Gomez",Manufacturing,Starter,141973,174,73.5,Healthy,No recent CSM touch,Evaluate expansion opportunity,2026-06-27
CUST-100026,Crane LLC,Healthcare,Starter,127457,363,70.7,Healthy,Negative NPS,Evaluate expansion opportunity,2026-06-27
CUST-100027,Jensen PLC,Financial Services,Starter,28469,264,57.1,Watch,High support volume; Negative NPS; No recent CSM touch,Review support history and escalate recurring issues,2026-06-27
CUST-100028,"Christensen, Grimes and Larson",Manufacturing,Enterprise,294713,293,74.1,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100029,Nunez Group,Manufacturing,Starter,225416,50,73.8,Healthy,Upcoming renewal,Evaluate expansion opportunity,2026-06-27
CUST-100030,Berger-Cervantes,Logistics,Starter,256855,345,73.4,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100031,Green LLC,Healthcare,Starter,189892,99,58.0,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100032,Lucero LLC,Financial Services,Professional,108200,128,66.4,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100033,"Bush, Davis and Brown",Healthcare,Enterprise,63332,277,64.9,Watch,Negative NPS,Monitor,2026-06-27
CUST-100034,Sanders-Ortega,Technology,Professional,225078,110,55.4,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100035,"Moss, Mcdowell and Leach",Healthcare,Professional,210691,136,59.2,Watch,Low active usage; No recent CSM touch,Monitor,2026-06-27
CUST-100036,Simmons-Santana,Logistics,Enterprise,233777,285,71.2,Healthy,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100037,Warner Inc,Manufacturing,Starter,167560,297,64.3,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100038,Graham-Hernandez,Education,Professional,38289,258,64.8,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100039,Hernandez-Barnett,Healthcare,Starter,278248,36,64.1,Watch,Negative NPS; No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100040,Hernandez-Mccarty,Education,Starter,74855,297,43.3,At Risk,Negative NPS; No recent CSM touch,Prioritize CSM outreach and create success plan,2026-06-27
CUST-100041,Johnson-Lin,Financial Services,Professional,286088,105,74.6,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100042,Robbins Ltd,Manufacturing,Enterprise,219505,331,62.0,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100043,Marshall LLC,Education,Enterprise,252273,52,74.1,Healthy,Upcoming renewal,Evaluate expansion opportunity,2026-06-27
CUST-100044,Stevens and Sons,Healthcare,Starter,194981,190,67.1,Watch,Negative NPS,Monitor,2026-06-27
CUST-100045,Perez-Knight,Healthcare,Enterprise,289317,284,53.0,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100046,"Brown, Reynolds and Johnson",Financial Services,Starter,82407,55,66.6,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100047,Pope-Barr,Logistics,Professional,122430,105,56.8,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100048,Branch-Daniel,Financial Services,Starter,268131,48,68.7,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100049,Crawford-Taylor,Financial Services,Starter,13858,327,55.8,Watch,Low active usage; Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100050,Taylor and Sons,Education,Starter,236231,58,63.6,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100051,Johnson-Jordan,Financial Services,Enterprise,30889,283,71.5,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100052,"Hutchinson, Thomas and Tran",Healthcare,Professional,203182,108,60.0,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100053,Burnett-Washington,Education,Enterprise,225058,80,64.8,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100054,Bowman-Spencer,Technology,Starter,104826,92,82.9,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100055,"Jones, Alvarez and Garcia",Financial Services,Starter,142111,360,53.9,Watch,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100056,"Phillips, Morgan and Jackson",Manufacturing,Starter,258777,236,51.4,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100057,Bryant Group,Logistics,Starter,24406,205,56.5,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100058,Johnson PLC,Financial Services,Enterprise,158341,261,60.4,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100059,Brown-Moon,Healthcare,Professional,26470,92,66.5,Watch,Negative NPS,Monitor,2026-06-27
CUST-100060,Smith-Vaughan,Financial Services,Enterprise,239836,161,67.7,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100061,Cruz-Morton,Financial Services,Starter,111656,363,49.6,At Risk,Low feature adoption; Negative NPS; No recent CSM touch,Prioritize CSM outreach and create success plan,2026-06-27
CUST-100062,Medina-Booth,Healthcare,Enterprise,238124,170,64.8,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100063,Schneider-Parker,Education,Professional,169455,342,62.8,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100064,"Perez, Becker and Dickerson",Manufacturing,Professional,78735,341,49.2,At Risk,No recent CSM touch,Prioritize CSM outreach and create success plan,2026-06-27
CUST-100065,Fowler-Pena,Technology,Enterprise,169784,1,69.5,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100066,Vargas Group,Technology,Professional,180951,227,52.3,Watch,Low active usage; Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100067,Cisneros LLC,Logistics,Starter,100967,146,74.2,Healthy,No recent CSM touch,Evaluate expansion opportunity,2026-06-27
CUST-100068,"James, Washington and Collins",Logistics,Professional,135138,116,61.2,Watch,Low feature adoption; Negative NPS,Schedule product enablement session,2026-06-27
CUST-100069,Romero Group,Technology,Enterprise,140368,38,67.0,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100070,Morrison-Sexton,Technology,Professional,213315,125,74.5,Healthy,No recent CSM touch,Evaluate expansion opportunity,2026-06-27
CUST-100071,James Group,Technology,Starter,67882,91,70.2,Healthy,No recent CSM touch,Monitor,2026-06-27
CUST-100072,Hart-Tran,Healthcare,Professional,142651,69,58.1,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100073,"Moore, Campbell and Gomez",Education,Enterprise,244035,259,72.5,Healthy,No recent CSM touch,Evaluate expansion opportunity,2026-06-27
CUST-100074,"James, Stanton and Wallace",Logistics,Professional,95444,231,67.2,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100075,Smith-Moreno,Technology,Enterprise,285311,123,76.2,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100076,Pena-Lee,Financial Services,Professional,154456,277,73.3,Healthy,Negative NPS,Evaluate expansion opportunity,2026-06-27
CUST-100077,Simpson-Young,Logistics,Starter,92113,33,67.2,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100078,Hicks-Hernandez,Manufacturing,Professional,44645,200,64.5,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100079,"Vasquez, Ayala and Stanley",Technology,Starter,211429,181,72.8,Healthy,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100080,Jones-Lewis,Education,Starter,298330,250,76.5,Healthy,Negative NPS,Evaluate expansion opportunity,2026-06-27
CUST-100081,"Mcdonald, Kelly and Sherman",Financial Services,Enterprise,215873,348,67.9,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100082,Hall-Boyer,Manufacturing,Enterprise,257047,274,61.1,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100083,"Finley, Clark and Cruz",Manufacturing,Professional,236716,94,60.8,Watch,Negative NPS,Monitor,2026-06-27
CUST-100084,Lopez Ltd,Financial Services,Professional,250393,195,68.7,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100085,Casey Inc,Technology,Starter,54942,277,69.9,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100086,"Lopez, Moore and Quinn",Healthcare,Starter,33106,103,57.5,Watch,Low feature adoption; Negative NPS; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100087,Dunn-Lee,Technology,Enterprise,78176,59,50.7,Watch,Low feature adoption; Negative NPS; Upcoming renewal,Schedule product enablement session,2026-06-27
CUST-100088,"Webb, Barry and Dyer",Manufacturing,Enterprise,205407,311,63.4,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100089,Hurley-Cochran,Financial Services,Starter,97860,297,72.0,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100090,House Group,Healthcare,Enterprise,115981,354,80.4,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100091,"Martin, Park and Travis",Logistics,Enterprise,170116,62,62.5,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100092,Short LLC,Technology,Enterprise,291311,190,71.4,Healthy,No recent CSM touch,Evaluate expansion opportunity,2026-06-27
CUST-100093,Tyler-Fields,Technology,Starter,232231,222,69.3,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100094,Wilson Ltd,Technology,Starter,92211,268,74.7,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100095,"Moore, Pham and Jenkins",Logistics,Enterprise,240366,138,67.5,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100096,Carter-Hodge,Manufacturing,Professional,248350,292,81.1,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100097,Williams and Sons,Financial Services,Starter,271158,250,57.6,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100098,"Roth, Morgan and Jones",Education,Enterprise,158621,142,62.0,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100099,"Boyd, Bell and Aguilar",Logistics,Professional,138540,251,68.5,Watch,High support volume,Review support history and escalate recurring issues,2026-06-27
CUST-100100,Melendez-Phillips,Technology,Starter,269331,48,59.9,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100101,Davis-Watts,Technology,Enterprise,205472,272,66.8,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100102,Bruce PLC,Financial Services,Professional,249893,129,58.2,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100103,Lee-Brooks,Logistics,Enterprise,74681,354,60.1,Watch,Negative NPS,Monitor,2026-06-27
CUST-100104,"Bishop, White and Wright",Education,Professional,287060,52,61.0,Watch,Low feature adoption; Negative NPS; Upcoming renewal,Schedule product enablement session,2026-06-27
CUST-100105,"Owen, Stevenson and Leonard",Financial Services,Starter,106079,363,57.1,Watch,Negative NPS,Monitor,2026-06-27
CUST-100106,Foster-Miller,Logistics,Starter,165163,327,61.2,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100107,Mason-Oconnor,Education,Professional,18430,241,71.3,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100108,Ho Inc,Technology,Starter,144371,34,61.9,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100109,Lopez-Nelson,Education,Professional,90222,44,66.5,Watch,Negative NPS; No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100110,Parker Inc,Education,Professional,130325,231,65.8,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100111,"Jordan, Hopkins and Thompson",Education,Enterprise,43578,51,73.9,Healthy,Upcoming renewal,Monitor,2026-06-27
CUST-100112,"Wright, Griffith and Martinez",Manufacturing,Starter,54565,89,67.5,Watch,High support volume; Negative NPS; Upcoming renewal,Review support history and escalate recurring issues,2026-06-27
CUST-100113,Martinez Ltd,Logistics,Enterprise,248193,241,65.0,Watch,Negative NPS,Monitor,2026-06-27
CUST-100114,"Lozano, Powell and Cunningham",Logistics,Professional,160225,37,51.7,Watch,Negative NPS; No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100115,Brewer-Leach,Technology,Starter,115714,279,81.4,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100116,"Lucero, West and Wells",Healthcare,Starter,86572,85,66.1,Watch,Negative NPS; No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100117,"Owen, Bowman and Baxter",Technology,Enterprise,77197,156,67.2,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100118,Bruce-Kelly,Technology,Professional,295105,42,53.3,Watch,Negative NPS; No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100119,"Ward, Chung and Brown",Education,Professional,180989,14,64.7,Watch,Negative NPS; No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100120,Cooper PLC,Education,Starter,153301,90,54.0,Watch,High support volume; No recent CSM touch; Upcoming renewal,Review support history and escalate recurring issues,2026-06-27
CUST-100121,Harris and Sons,Manufacturing,Enterprise,157834,224,71.7,Healthy,No recent CSM touch,Evaluate expansion opportunity,2026-06-27
CUST-100122,Pacheco-Sherman,Technology,Professional,194431,165,53.2,Watch,Low feature adoption; Negative NPS; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100123,"Fischer, Walker and Mcbride",Logistics,Professional,227820,148,73.6,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100124,Fuller-Parrish,Financial Services,Professional,58168,166,74.9,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100125,Greene Ltd,Technology,Professional,296475,28,59.6,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100126,Davidson Group,Healthcare,Starter,243756,137,54.3,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100127,Chang PLC,Healthcare,Starter,266128,323,73.7,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100128,Barnes PLC,Education,Professional,19169,48,67.7,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100129,"Grant, Hughes and Copeland",Logistics,Starter,73586,256,59.1,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100130,Burgess-Hernandez,Technology,Starter,264968,234,65.9,Watch,Negative NPS,Monitor,2026-06-27
CUST-100131,Davis-Mccoy,Logistics,Starter,278464,36,66.9,Watch,Low feature adoption; No recent CSM touch; Upcoming renewal,Schedule product enablement session,2026-06-27
CUST-100132,Chavez-Stout,Financial Services,Starter,278200,145,69.1,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100133,"Martinez, Tyler and Diaz",Technology,Enterprise,89906,248,65.8,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100134,Roberts-Cole,Manufacturing,Enterprise,180704,123,66.1,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100135,"Boyle, Lee and Morris",Logistics,Professional,178816,362,74.7,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100136,Santana Group,Technology,Starter,91746,65,64.4,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100137,Morris-Meyers,Healthcare,Enterprise,242847,234,80.0,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100138,Rivera Group,Healthcare,Professional,92929,136,66.0,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100139,Khan-Clayton,Financial Services,Enterprise,54108,274,59.7,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100140,Raymond-Powers,Healthcare,Enterprise,295648,36,72.3,Healthy,No recent CSM touch; Upcoming renewal,Evaluate expansion opportunity,2026-06-27
CUST-100141,Wheeler-Bauer,Technology,Starter,59384,325,82.7,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100142,Mitchell-Alexander,Healthcare,Starter,169006,167,72.5,Healthy,Negative NPS,Evaluate expansion opportunity,2026-06-27
CUST-100143,Rogers-Hunt,Manufacturing,Starter,237803,272,62.5,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100144,"Steele, White and Schwartz",Healthcare,Enterprise,103786,196,77.3,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100145,Rodriguez-Chapman,Manufacturing,Professional,87034,327,73.4,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100146,Jackson-Beltran,Financial Services,Enterprise,255926,280,60.3,Watch,Negative NPS,Monitor,2026-06-27
CUST-100147,"Erickson, Ramsey and Saunders",Logistics,Professional,168842,354,53.8,Watch,High support volume; No recent CSM touch,Review support history and escalate recurring issues,2026-06-27
CUST-100148,Nguyen-Pratt,Technology,Starter,213690,122,74.3,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100149,"Ballard, Cooper and Acosta",Healthcare,Enterprise,166785,203,60.7,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100150,"Peterson, Walker and Walters",Financial Services,Starter,272428,311,75.2,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100151,Dyer-Peters,Logistics,Enterprise,143400,338,77.0,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100152,Miller-Montoya,Financial Services,Professional,32668,18,63.3,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100153,Wilson-Moore,Financial Services,Enterprise,166722,213,63.2,Watch,Negative NPS,Monitor,2026-06-27
CUST-100154,Gilmore-Oliver,Financial Services,Starter,275084,132,53.3,Watch,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100155,Jefferson-Wallace,Logistics,Professional,166739,59,58.7,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100156,Peterson-Booth,Education,Professional,220358,47,86.3,Healthy,Upcoming renewal,Evaluate expansion opportunity,2026-06-27
CUST-100157,Parrish-Thomas,Technology,Professional,76796,345,61.2,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100158,"Huerta, Ellison and Anderson",Healthcare,Enterprise,206759,120,58.3,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100159,Smith-Carter,Logistics,Starter,128060,326,52.0,Watch,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100160,James-Pena,Healthcare,Starter,226064,24,53.2,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100161,Watson-Jensen,Manufacturing,Enterprise,62956,70,63.8,Watch,Upcoming renewal,Monitor,2026-06-27
CUST-100162,Schmitt Inc,Technology,Enterprise,93014,51,67.8,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100163,Copeland-Walsh,Healthcare,Enterprise,158664,190,59.1,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100164,Miller-Taylor,Healthcare,Enterprise,202151,189,55.1,Watch,High support volume; No recent CSM touch,Review support history and escalate recurring issues,2026-06-27
CUST-100165,"Perez, Blair and Nguyen",Financial Services,Starter,220739,63,60.9,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100166,"Ross, Hayes and Marshall",Logistics,Enterprise,123204,306,53.6,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100167,Anderson-Brady,Education,Starter,78020,36,71.9,Healthy,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100168,Lyons-Valdez,Manufacturing,Professional,125220,76,70.6,Healthy,No recent CSM touch; Upcoming renewal,Evaluate expansion opportunity,2026-06-27
CUST-100169,"Stewart, Mueller and Morris",Manufacturing,Enterprise,87858,129,71.6,Healthy,Negative NPS,Monitor,2026-06-27
CUST-100170,Parker-Marshall,Financial Services,Starter,19791,302,61.8,Watch,Negative NPS,Monitor,2026-06-27
CUST-100171,Martinez-Weber,Logistics,Professional,78457,270,81.5,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100172,Wiggins and Sons,Education,Enterprise,201812,56,60.6,Watch,Low active usage; Upcoming renewal,Monitor,2026-06-27
CUST-100173,Allen-Lewis,Financial Services,Professional,285390,330,53.6,Watch,Low feature adoption; Negative NPS,Schedule product enablement session,2026-06-27
CUST-100174,"Robinson, Williams and Cooper",Technology,Enterprise,222563,56,49.6,At Risk,High support volume; No recent CSM touch; Upcoming renewal,Escalate renewal risk and schedule executive outreach,2026-06-27
CUST-100175,Craig-Summers,Financial Services,Enterprise,54357,76,58.4,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100176,Phillips-Carrillo,Financial Services,Professional,290164,259,69.4,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100177,Castro PLC,Technology,Professional,124734,117,62.2,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100178,"Mendoza, Wells and Clark",Logistics,Starter,230098,161,68.7,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100179,Brown-Duncan,Logistics,Professional,92026,35,70.6,Healthy,High support volume; Upcoming renewal,Review support history and escalate recurring issues,2026-06-27
CUST-100180,Ortega Ltd,Logistics,Enterprise,62627,191,66.7,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100181,"Boyer, Rush and Davis",Logistics,Starter,184829,211,60.0,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100182,Franklin PLC,Financial Services,Enterprise,38972,160,66.3,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100183,"Parker, Jordan and Haas",Manufacturing,Starter,264806,180,63.0,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100184,"Flores, Burnett and Gomez",Education,Starter,158049,220,58.9,Watch,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100185,"Jones, Drake and Jackson",Healthcare,Starter,152219,140,70.6,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100186,Gill-Brewer,Manufacturing,Starter,15201,290,78.6,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100187,Daniel Inc,Healthcare,Enterprise,28073,272,77.8,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100188,"Williams, Parker and Miller",Financial Services,Professional,94527,167,67.2,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100189,Williams-Hicks,Manufacturing,Starter,39582,317,76.5,Healthy,No major risk drivers,Monitor,2026-06-27
CUST-100190,"Hill, Smith and Carrillo",Technology,Enterprise,234305,227,69.7,Watch,Negative NPS,Monitor,2026-06-27
CUST-100191,Fry Inc,Healthcare,Professional,237398,348,57.7,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100192,"Gonzalez, Kelly and Carey",Technology,Enterprise,127615,29,57.0,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100193,Summers-Hayes,Financial Services,Professional,83950,168,53.3,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100194,Gomez-Simon,Technology,Enterprise,79730,361,49.0,At Risk,Low active usage; Low feature adoption; No recent CSM touch,Prioritize CSM outreach and create success plan,2026-06-27
CUST-100195,Villa PLC,Logistics,Starter,220179,224,66.4,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100196,Long and Sons,Education,Professional,176133,294,61.5,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100197,Smith-Williams,Technology,Starter,72384,167,72.5,Healthy,No recent CSM touch,Monitor,2026-06-27
CUST-100198,Adams Inc,Healthcare,Professional,201715,55,64.3,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100199,Garcia PLC,Technology,Professional,53233,174,53.5,Watch,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100200,"Mejia, Perez and Fowler",Logistics,Starter,279640,272,62.8,Watch,Negative NPS; No recent CSM touch,Monitor,2026-06-27
CUST-100201,Li Inc,Manufacturing,Starter,89432,75,72.0,Healthy,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100202,Simmons-Elliott,Manufacturing,Enterprise,51506,253,78.9,Healthy,No recent CSM touch,Monitor,2026-06-27
CUST-100203,Thompson Inc,Logistics,Professional,181454,78,67.5,Watch,Negative NPS; Upcoming renewal,Monitor,2026-06-27
CUST-100204,Atkins-King,Financial Services,Enterprise,170765,29,77.2,Healthy,Upcoming renewal,Evaluate expansion opportunity,2026-06-27
