customer_id,company_name,industry,subscription_tier,annual_recurring_revenue,licensed_users,active_users,active_user_pct,feature_adoption_pct,login_days_30d,support_tickets_30d,avg_resolution_days,nps_score,renewal_days,days_since_csm_touch,has_executive_sponsor,renewal_window,low_usage_flag,low_adoption_flag,high_support_flag,negative_nps_flag,stale_csm_touch_flag
CUST-100068,"James, Washington and Collins",Logistics,Professional,135138,62,47,75.8,30.7,25,1,1.7,-15,116,18,0,Renewal not imminent,0,1,0,1,0
CUST-100069,Romero Group,Technology,Enterprise,140368,38,38,100.0,71.6,14,3,2.7,13,38,113,0,Renewal due in 90 days,0,0,0,0,1
CUST-100070,Morrison-Sexton,Technology,Professional,213315,382,338,88.5,98.8,4,3,1.9,43,125,88,0,Renewal not imminent,0,0,0,0,1
CUST-100071,James Group,Technology,Starter,67882,472,351,74.4,73.2,25,1,3.2,49,91,66,1,Renewal not imminent,0,0,0,0,1
CUST-100072,Hart-Tran,Healthcare,Professional,142651,40,25,62.5,73.1,25,3,2.7,19,69,85,1,Renewal due in 90 days,0,0,0,0,1
CUST-100073,"Moore, Campbell and Gomez",Education,Enterprise,244035,401,273,68.1,97.2,13,1,2.8,66,259,116,1,Renewal not imminent,0,0,0,0,1
CUST-100074,"James, Stanton and Wallace",Logistics,Professional,95444,474,324,68.4,77.1,8,3,5.0,56,231,31,1,Renewal not imminent,0,0,0,0,0
CUST-100075,Smith-Moreno,Technology,Enterprise,285311,407,324,79.6,80.5,8,1,4.0,16,123,9,1,Renewal not imminent,0,0,0,0,0
CUST-100076,Pena-Lee,Financial Services,Professional,154456,135,127,94.1,62.2,2,1,2.5,-23,277,19,0,Renewal not imminent,0,0,0,1,0
CUST-100077,Simpson-Young,Logistics,Starter,92113,211,192,91.0,57.0,13,3,1.7,12,33,42,1,Renewal due in 90 days,0,0,0,0,0
CUST-100078,Hicks-Hernandez,Manufacturing,Professional,44645,227,127,55.9,93.3,28,2,6.5,58,200,74,0,Renewal not imminent,0,0,0,0,1
CUST-100079,"Vasquez, Ayala and Stanley",Technology,Starter,211429,453,453,100.0,48.8,9,1,4.7,56,181,49,1,Renewal not imminent,0,1,0,0,0
CUST-100080,Jones-Lewis,Education,Starter,298330,290,290,100.0,81.1,7,1,3.7,-6,250,55,1,Renewal not imminent,0,0,0,1,0
CUST-100081,"Mcdonald, Kelly and Sherman",Financial Services,Enterprise,215873,29,21,72.4,88.0,25,1,3.2,11,348,92,0,Renewal not imminent,0,0,0,0,1
CUST-100082,Hall-Boyer,Manufacturing,Enterprise,257047,445,252,56.6,58.1,0,2,4.8,76,274,50,0,Renewal not imminent,0,0,0,0,0
CUST-100083,"Finley, Clark and Cruz",Manufacturing,Professional,236716,57,31,54.4,73.1,1,2,1.5,-7,94,48,1,Renewal not imminent,0,0,0,1,0
CUST-100084,Lopez Ltd,Financial Services,Professional,250393,123,98,79.7,68.2,8,1,1.9,56,195,106,1,Renewal not imminent,0,0,0,0,1
CUST-100085,Casey Inc,Technology,Starter,54942,144,118,81.9,70.2,1,2,3.0,4,277,28,0,Renewal not imminent,0,0,0,0,0
CUST-100086,"Lopez, Moore and Quinn",Healthcare,Starter,33106,414,391,94.4,21.5,26,1,0.7,-38,103,79,0,Renewal not imminent,0,1,0,1,1
CUST-100087,Dunn-Lee,Technology,Enterprise,78176,137,82,59.9,34.2,18,2,2.1,-13,59,59,1,Renewal due in 90 days,0,1,0,1,0
CUST-100088,"Webb, Barry and Dyer",Manufacturing,Enterprise,205407,407,248,60.9,76.5,30,1,5.1,55,311,91,0,Renewal not imminent,0,0,0,0,1
CUST-100089,Hurley-Cochran,Financial Services,Starter,97860,413,239,57.9,72.0,0,1,0.5,78,297,39,1,Renewal not imminent,0,0,0,0,0
CUST-100090,House Group,Healthcare,Enterprise,115981,218,214,98.2,75.1,26,2,0.5,40,354,31,0,Renewal not imminent,0,0,0,0,0
CUST-100091,"Martin, Park and Travis",Logistics,Enterprise,170116,371,361,97.3,76.9,25,4,7.8,32,62,100,0,Renewal due in 90 days,0,0,0,0,1
CUST-100092,Short LLC,Technology,Enterprise,291311,192,157,81.8,74.4,2,1,0.5,24,190,82,1,Renewal not imminent,0,0,0,0,1
CUST-100093,Tyler-Fields,Technology,Starter,232231,21,16,76.2,79.1,30,0,4.0,6,222,81,1,Renewal not imminent,0,0,0,0,1
CUST-100094,Wilson Ltd,Technology,Starter,92211,377,327,86.7,73.5,30,2,2.8,43,268,34,1,Renewal not imminent,0,0,0,0,0
CUST-100095,"Moore, Pham and Jenkins",Logistics,Enterprise,240366,253,189,74.7,46.5,10,2,1.6,69,138,31,0,Renewal not imminent,0,1,0,0,0
CUST-100096,Carter-Hodge,Manufacturing,Professional,248350,157,157,100.0,75.2,19,0,4.7,45,292,48,1,Renewal not imminent,0,0,0,0,0
CUST-100097,Williams and Sons,Financial Services,Starter,271158,29,14,48.3,83.0,6,1,3.9,5,250,102,1,Renewal not imminent,0,0,0,0,1
CUST-100098,"Roth, Morgan and Jones",Education,Enterprise,158621,189,126,66.7,86.6,17,3,0.5,-39,142,66,0,Renewal not imminent,0,0,0,1,1
CUST-100099,"Boyd, Bell and Aguilar",Logistics,Professional,138540,58,51,87.9,62.9,17,5,0.5,57,251,30,1,Renewal not imminent,0,0,1,0,0
CUST-100100,Melendez-Phillips,Technology,Starter,269331,345,245,71.0,78.3,9,4,3.6,-12,48,51,0,Renewal due in 90 days,0,0,0,1,0
CUST-100101,Davis-Watts,Technology,Enterprise,205472,171,123,71.9,86.6,11,1,3.9,14,272,95,1,Renewal not imminent,0,0,0,0,1
CUST-100102,Bruce PLC,Financial Services,Professional,249893,195,126,64.6,91.3,7,3,4.0,-25,129,92,0,Renewal not imminent,0,0,0,1,1
CUST-100103,Lee-Brooks,Logistics,Enterprise,74681,176,150,85.2,58.4,5,3,8.1,-16,354,27,1,Renewal not imminent,0,0,0,1,0
CUST-100104,"Bishop, White and Wright",Education,Professional,287060,156,103,66.0,46.5,26,1,0.8,-16,52,37,0,Renewal due in 90 days,0,1,0,1,0
CUST-100105,"Owen, Stevenson and Leonard",Financial Services,Starter,106079,199,115,57.8,76.6,17,3,5.5,-24,363,35,0,Renewal not imminent,0,0,0,1,0
CUST-100106,Foster-Miller,Logistics,Starter,165163,42,28,66.7,62.8,27,4,0.5,56,327,62,0,Renewal not imminent,0,0,0,0,1
CUST-100107,Mason-Oconnor,Education,Professional,18430,461,337,73.1,78.3,15,1,2.8,16,241,43,0,Renewal not imminent,0,0,0,0,0
CUST-100108,Ho Inc,Technology,Starter,144371,41,22,53.7,65.9,12,1,8.2,22,34,9,0,Renewal due in 90 days,0,0,0,0,0
CUST-100109,Lopez-Nelson,Education,Professional,90222,92,79,85.9,62.0,7,0,4.1,-25,44,71,1,Renewal due in 90 days,0,0,0,1,1
CUST-100110,Parker Inc,Education,Professional,130325,325,250,76.9,51.6,29,1,3.4,16,231,38,1,Renewal not imminent,0,0,0,0,0
CUST-100111,"Jordan, Hopkins and Thompson",Education,Enterprise,43578,171,169,98.8,64.8,30,3,4.9,57,51,26,0,Renewal due in 90 days,0,0,0,0,0
CUST-100112,"Wright, Griffith and Martinez",Manufacturing,Starter,54565,150,149,99.3,82.9,17,6,2.2,-31,89,20,0,Renewal due in 90 days,0,0,1,1,0
CUST-100113,Martinez Ltd,Logistics,Enterprise,248193,224,177,79.0,82.9,9,3,5.1,-36,241,29,1,Renewal not imminent,0,0,0,1,0
CUST-100114,"Lozano, Powell and Cunningham",Logistics,Professional,160225,376,186,49.5,72.6,21,2,4.0,-11,37,118,1,Renewal due in 90 days,0,0,0,1,1
CUST-100115,Brewer-Leach,Technology,Starter,115714,418,399,95.5,68.5,7,0,3.9,42,279,19,1,Renewal not imminent,0,0,0,0,0
CUST-100116,"Lucero, West and Wells",Healthcare,Starter,86572,438,342,78.1,78.1,25,2,2.4,-1,85,76,1,Renewal due in 90 days,0,0,0,1,1
CUST-100117,"Owen, Bowman and Baxter",Technology,Enterprise,77197,239,185,77.4,84.9,22,2,1.0,11,156,120,1,Renewal not imminent,0,0,0,0,1
CUST-100118,Bruce-Kelly,Technology,Professional,295105,271,187,69.0,65.4,19,2,4.8,-35,42,113,1,Renewal due in 90 days,0,0,0,1,1
CUST-100119,"Ward, Chung and Brown",Education,Professional,180989,391,275,70.3,94.0,2,3,1.0,-11,14,86,0,Renewal due in 30 days,0,0,0,1,1
CUST-100120,Cooper PLC,Education,Starter,153301,406,380,93.6,55.7,15,6,6.0,26,90,83,1,Renewal due in 90 days,0,0,1,0,1
CUST-100121,Harris and Sons,Manufacturing,Enterprise,157834,484,384,79.3,63.4,20,1,2.0,64,224,62,0,Renewal not imminent,0,0,0,0,1
CUST-100122,Pacheco-Sherman,Technology,Professional,194431,255,183,71.8,44.4,21,1,3.2,-27,165,109,0,Renewal not imminent,0,1,0,1,1
CUST-100123,"Fischer, Walker and Mcbride",Logistics,Professional,227820,183,112,61.2,91.8,21,2,1.6,80,148,51,0,Renewal not imminent,0,0,0,0,0
CUST-100124,Fuller-Parrish,Financial Services,Professional,58168,247,176,71.3,89.0,3,1,3.9,58,166,51,0,Renewal not imminent,0,0,0,0,0
CUST-100125,Greene Ltd,Technology,Professional,296475,351,145,41.3,81.7,6,1,7.1,26,28,46,1,Renewal due in 30 days,0,0,0,0,0
CUST-100126,Davidson Group,Healthcare,Starter,243756,335,273,81.5,58.4,17,2,7.1,-24,137,118,1,Renewal not imminent,0,0,0,1,1
CUST-100127,Chang PLC,Healthcare,Starter,266128,239,184,77.0,67.3,19,1,3.7,62,323,30,0,Renewal not imminent,0,0,0,0,0
CUST-100128,Barnes PLC,Education,Professional,19169,174,150,86.2,51.5,7,1,1.4,67,48,116,0,Renewal due in 90 days,0,0,0,0,1
CUST-100129,"Grant, Hughes and Copeland",Logistics,Starter,73586,251,160,63.7,63.1,29,4,4.7,51,256,37,1,Renewal not imminent,0,0,0,0,0
CUST-100130,Burgess-Hernandez,Technology,Starter,264968,227,128,56.4,93.1,17,2,0.5,-22,234,49,0,Renewal not imminent,0,0,0,1,0
CUST-100131,Davis-Mccoy,Logistics,Starter,278464,486,486,100.0,46.1,8,1,5.1,58,36,101,1,Renewal due in 90 days,0,1,0,0,1
CUST-100132,Chavez-Stout,Financial Services,Starter,278200,189,141,74.6,92.0,23,0,4.5,-2,145,107,1,Renewal not imminent,0,0,0,1,1
CUST-100133,"Martinez, Tyler and Diaz",Technology,Enterprise,89906,458,347,75.8,79.2,11,2,3.2,2,248,70,1,Renewal not imminent,0,0,0,0,1
CUST-100134,Roberts-Cole,Manufacturing,Enterprise,180704,248,218,87.9,39.8,18,2,0.9,9,123,29,1,Renewal not imminent,0,1,0,0,0
CUST-100135,"Boyle, Lee and Morris",Logistics,Professional,178816,37,33,89.2,63.4,29,1,3.7,63,362,48,1,Renewal not imminent,0,0,0,0,0
CUST-100136,Santana Group,Technology,Starter,91746,354,186,52.5,86.6,16,2,5.2,35,65,42,0,Renewal due in 90 days,0,0,0,0,0
CUST-100137,Morris-Meyers,Healthcare,Enterprise,242847,462,417,90.3,83.4,0,2,3.4,52,234,18,1,Renewal not imminent,0,0,0,0,0
CUST-100138,Rivera Group,Healthcare,Professional,92929,460,328,71.3,78.7,10,2,2.3,39,136,88,1,Renewal not imminent,0,0,0,0,1
CUST-100139,Khan-Clayton,Financial Services,Enterprise,54108,347,250,72.0,68.2,12,3,1.6,0,274,80,1,Renewal not imminent,0,0,0,0,1
CUST-100140,Raymond-Powers,Healthcare,Enterprise,295648,461,376,81.6,84.6,7,1,3.4,40,36,87,1,Renewal due in 90 days,0,0,0,0,1
CUST-100141,Wheeler-Bauer,Technology,Starter,59384,131,131,100.0,77.1,22,3,1.3,71,325,12,1,Renewal not imminent,0,0,0,0,0
CUST-100142,Mitchell-Alexander,Healthcare,Starter,169006,100,96,96.0,60.5,25,0,3.4,-33,167,37,1,Renewal not imminent,0,0,0,1,0
CUST-100143,Rogers-Hunt,Manufacturing,Starter,237803,206,158,76.7,70.4,13,2,5.6,32,272,87,0,Renewal not imminent,0,0,0,0,1
CUST-100144,"Steele, White and Schwartz",Healthcare,Enterprise,103786,102,82,80.4,70.9,19,0,3.2,47,196,30,1,Renewal not imminent,0,0,0,0,0
CUST-100145,Rodriguez-Chapman,Manufacturing,Professional,87034,482,348,72.2,86.6,8,2,0.9,18,327,32,0,Renewal not imminent,0,0,0,0,0
CUST-100146,Jackson-Beltran,Financial Services,Enterprise,255926,475,299,62.9,84.6,5,3,2.6,-31,280,56,1,Renewal not imminent,0,0,0,1,0
CUST-100147,"Erickson, Ramsey and Saunders",Logistics,Professional,168842,315,225,71.4,87.6,8,6,5.0,18,354,108,1,Renewal not imminent,0,0,1,0,1
CUST-100148,Nguyen-Pratt,Technology,Starter,213690,116,88,75.9,75.5,12,1,0.5,33,122,45,1,Renewal not imminent,0,0,0,0,0
CUST-100149,"Ballard, Cooper and Acosta",Healthcare,Enterprise,166785,373,263,70.5,82.3,8,3,1.5,-39,203,72,0,Renewal not imminent,0,0,0,1,1
CUST-100150,"Peterson, Walker and Walters",Financial Services,Starter,272428,481,330,68.6,89.4,25,1,0.5,5,311,28,0,Renewal not imminent,0,0,0,0,0
CUST-100151,Dyer-Peters,Logistics,Enterprise,143400,332,260,78.3,65.0,21,0,4.4,67,338,17,0,Renewal not imminent,0,0,0,0,0
CUST-100152,Miller-Montoya,Financial Services,Professional,32668,477,353,74.0,77.9,18,1,5.8,6,18,93,0,Renewal due in 30 days,0,0,0,0,1
CUST-100153,Wilson-Moore,Financial Services,Enterprise,166722,61,41,67.2,59.1,5,2,2.2,-15,213,16,1,Renewal not imminent,0,0,0,1,0
CUST-100154,Gilmore-Oliver,Financial Services,Starter,275084,286,217,75.9,33.0,29,3,3.6,65,132,120,1,Renewal not imminent,0,1,0,0,1
CUST-100155,Jefferson-Wallace,Logistics,Professional,166739,427,298,69.8,52.3,14,3,1.9,-31,59,18,0,Renewal due in 90 days,0,0,0,1,0
CUST-100156,Peterson-Booth,Education,Professional,220358,455,439,96.5,89.9,25,0,4.1,10,47,1,1,Renewal due in 90 days,0,0,0,0,0
CUST-100157,Parrish-Thomas,Technology,Professional,76796,289,184,63.7,44.0,23,2,2.2,46,345,33,1,Renewal not imminent,0,1,0,0,0
CUST-100158,"Huerta, Ellison and Anderson",Healthcare,Enterprise,206759,436,233,53.4,84.7,15,1,4.2,-37,120,79,1,Renewal not imminent,0,0,0,1,1
CUST-100159,Smith-Carter,Logistics,Starter,128060,483,408,84.5,41.3,26,4,3.7,19,326,116,1,Renewal not imminent,0,1,0,0,1
CUST-100160,James-Pena,Healthcare,Starter,226064,347,214,61.7,52.0,30,2,5.7,-36,24,38,1,Renewal due in 30 days,0,0,0,1,0
CUST-100161,Watson-Jensen,Manufacturing,Enterprise,62956,74,60,81.1,67.5,12,4,2.4,18,70,47,1,Renewal due in 90 days,0,0,0,0,0
CUST-100162,Schmitt Inc,Technology,Enterprise,93014,315,243,77.1,69.7,26,1,2.1,22,51,78,1,Renewal due in 90 days,0,0,0,0,1
CUST-100163,Copeland-Walsh,Healthcare,Enterprise,158664,495,338,68.3,63.8,6,3,4.0,16,190,56,0,Renewal not imminent,0,0,0,0,0
CUST-100164,Miller-Taylor,Healthcare,Enterprise,202151,452,325,71.9,62.4,17,6,3.2,75,189,82,1,Renewal not imminent,0,0,1,0,1
CUST-100165,"Perez, Blair and Nguyen",Financial Services,Starter,220739,46,27,58.7,88.7,30,2,8.4,68,63,105,1,Renewal due in 90 days,0,0,0,0,1
CUST-100166,"Ross, Hayes and Marshall",Logistics,Enterprise,123204,61,41,67.2,58.1,0,1,4.5,-34,306,100,1,Renewal not imminent,0,0,0,1,1
CUST-100167,Anderson-Brady,Education,Starter,78020,139,101,72.7,64.6,26,0,1.1,57,36,70,0,Renewal due in 90 days,0,0,0,0,1
CUST-100168,Lyons-Valdez,Manufacturing,Professional,125220,315,255,81.0,70.0,25,2,2.4,75,76,76,0,Renewal due in 90 days,0,0,0,0,1
CUST-100169,"Stewart, Mueller and Morris",Manufacturing,Enterprise,87858,156,102,65.4,81.1,25,0,3.8,-18,129,14,0,Renewal not imminent,0,0,0,1,0
CUST-100170,Parker-Marshall,Financial Services,Starter,19791,82,59,72.0,60.4,10,2,3.2,-38,302,22,1,Renewal not imminent,0,0,0,1,0
CUST-100171,Martinez-Weber,Logistics,Professional,78457,41,35,85.4,86.6,3,2,2.3,55,270,8,1,Renewal not imminent,0,0,0,0,0
CUST-100172,Wiggins and Sons,Education,Enterprise,201812,244,80,32.8,61.7,14,0,1.5,24,56,28,0,Renewal due in 90 days,1,0,0,0,0
CUST-100173,Allen-Lewis,Financial Services,Professional,285390,387,276,71.3,20.9,30,1,5.8,-37,330,7,1,Renewal not imminent,0,1,0,1,0
