customer_id,days_since_csm_touch,last_qbr_days,has_executive_sponsor
CUST-100207,44,113,1
CUST-100208,17,27,0
CUST-100209,91,120,0
CUST-100210,112,121,1
CUST-100211,29,136,0
CUST-100212,95,74,0
CUST-100213,63,34,1
CUST-100214,23,3,1
CUST-100215,11,102,0
CUST-100216,57,68,1
CUST-100217,85,30,1
CUST-100218,117,75,1
CUST-100219,47,106,1
CUST-100220,90,92,0
CUST-100221,19,42,1
CUST-100222,115,130,1
CUST-100223,71,118,1
CUST-100224,54,88,0
CUST-100225,17,164,1
CUST-100226,69,34,1
CUST-100227,38,118,1
CUST-100228,119,28,0
CUST-100229,57,153,0
CUST-100230,99,14,0
CUST-100231,86,82,0
CUST-100232,75,44,1
CUST-100233,53,104,0
CUST-100234,90,36,1
CUST-100235,32,52,1
CUST-100236,48,172,0
CUST-100237,116,85,1
CUST-100238,89,154,0
CUST-100239,39,66,1
CUST-100240,47,80,1
CUST-100241,74,148,1
CUST-100242,63,140,1
CUST-100243,69,125,0
CUST-100244,0,105,0
CUST-100245,47,15,1
CUST-100246,92,70,1
CUST-100247,24,158,1
CUST-100248,31,178,0
CUST-100249,7,163,0
CUST-100250,114,135,0
CUST-100251,115,139,0
CUST-100252,118,19,1
CUST-100253,94,35,0
CUST-100254,98,157,1
CUST-100255,70,96,1
CUST-100256,10,68,0
CUST-100257,39,113,1
CUST-100258,71,131,1
CUST-100259,41,98,0
CUST-100260,87,97,0
CUST-100261,35,107,1
CUST-100262,58,27,0
CUST-100263,55,166,0
CUST-100264,94,177,1
CUST-100265,72,51,0
CUST-100266,106,177,0
CUST-100267,19,108,1
CUST-100268,111,177,1
CUST-100269,84,170,1
CUST-100270,13,2,0
CUST-100271,75,176,0
CUST-100272,120,36,1
CUST-100273,56,178,1
CUST-100274,82,27,0
CUST-100275,59,59,1
CUST-100276,78,50,1
CUST-100277,90,16,0
CUST-100278,85,125,1
CUST-100279,79,44,1
CUST-100280,14,46,1
CUST-100281,23,124,0
CUST-100282,79,13,1
CUST-100283,87,125,1
CUST-100284,35,57,1
CUST-100285,99,139,1
CUST-100286,83,63,1
CUST-100287,99,60,0
CUST-100288,100,52,0
CUST-100289,37,74,1
CUST-100290,16,179,0
CUST-100291,80,68,1
CUST-100292,88,94,1
CUST-100293,45,16,1
CUST-100294,73,33,1
CUST-100295,109,40,1
CUST-100296,111,70,0
CUST-100297,39,179,0
CUST-100298,28,132,1
CUST-100299,49,22,0
CUST-100300,18,17,0
CUST-100301,117,105,1
CUST-100302,44,109,1
CUST-100303,76,155,1
CUST-100304,37,165,0
CUST-100305,9,135,0
CUST-100306,22,120,0
CUST-100307,101,101,1
CUST-100308,68,157,0
CUST-100309,50,150,0
CUST-100310,78,155,0
CUST-100311,63,88,1
CUST-100312,54,69,0
CUST-100313,109,145,0
CUST-100314,0,11,0
CUST-100315,109,9,1
CUST-100316,73,95,0
CUST-100317,59,72,1
CUST-100318,38,159,0
CUST-100319,119,104,0
CUST-100320,84,96,1
CUST-100321,11,11,0
CUST-100322,64,34,1
CUST-100323,108,80,1
CUST-100324,17,149,0
CUST-100325,45,53,1
CUST-100326,90,178,0
CUST-100327,6,173,1
CUST-100328,102,35,0
CUST-100329,120,165,0
CUST-100330,56,32,0
CUST-100331,55,101,1
CUST-100332,57,38,0
CUST-100333,61,15,0
CUST-100334,69,4,1
CUST-100335,49,69,0
CUST-100336,98,149,0
CUST-100337,117,14,0
CUST-100338,94,178,1
CUST-100339,72,48,1
CUST-100340,28,5,1
CUST-100341,18,150,0
CUST-100342,38,82,0
CUST-100343,113,157,1
CUST-100344,0,179,1
CUST-100345,72,26,1
CUST-100346,11,171,1
CUST-100347,13,0,0
CUST-100348,48,25,1
CUST-100349,40,66,0
CUST-100350,11,86,1
CUST-100351,42,52,0
CUST-100352,50,146,1
CUST-100353,80,153,1
CUST-100354,14,78,1
CUST-100355,113,97,1
CUST-100356,34,144,0
CUST-100357,29,141,0
CUST-100358,60,76,0
CUST-100359,24,32,0
CUST-100360,116,17,0
CUST-100361,111,3,1
CUST-100362,12,73,1
CUST-100363,4,44,1
CUST-100364,95,121,1
CUST-100365,109,178,0
CUST-100366,53,154,0
CUST-100367,105,14,0
CUST-100368,106,51,0
CUST-100369,59,129,1
CUST-100370,111,121,1
CUST-100371,6,41,0
CUST-100372,2,174,0
CUST-100373,120,78,1
CUST-100374,66,159,1
CUST-100375,77,72,1
CUST-100376,35,66,1
CUST-100377,17,6,1
CUST-100378,104,48,1
CUST-100379,107,168,0
CUST-100380,23,174,1
CUST-100381,42,95,1
CUST-100382,120,158,0
CUST-100383,111,38,0
CUST-100384,23,20,1
CUST-100385,97,43,0
CUST-100386,61,98,0
CUST-100387,67,48,0
CUST-100388,49,128,1
CUST-100389,43,111,0
CUST-100390,93,33,0
CUST-100391,32,136,0
CUST-100392,56,97,0
CUST-100393,1,77,1
CUST-100394,13,130,0
CUST-100395,25,91,1
CUST-100396,42,60,0
CUST-100397,65,19,0
CUST-100398,104,44,0
CUST-100399,97,11,0
CUST-100400,93,23,1
CUST-100401,49,176,1
CUST-100402,116,151,1
CUST-100403,110,175,0
CUST-100404,40,3,0
CUST-100405,86,164,1
CUST-100406,109,126,0
CUST-100407,70,164,1
CUST-100408,57,80,0
CUST-100409,105,23,1
CUST-100410,6,57,1
CUST-100411,97,168,0
CUST-100412,13,11,0
CUST-100413,109,100,0
CUST-100414,75,31,1
CUST-100415,55,149,1
CUST-100416,84,153,1
CUST-100417,43,75,1
CUST-100418,70,80,0
CUST-100419,22,128,1
CUST-100420,107,136,1
CUST-100421,85,14,0
CUST-100422,37,52,0
CUST-100423,30,130,1
CUST-100424,95,64,0
CUST-100425,77,50,0
CUST-100426,15,96,0
CUST-100427,90,39,0
CUST-100428,70,91,0
CUST-100429,69,137,1
CUST-100430,27,158,1
CUST-100431,78,159,0
CUST-100432,3,132,1
CUST-100433,65,21,0
CUST-100434,27,175,1
CUST-100435,9,175,0
CUST-100436,32,142,0
CUST-100437,40,4,1
CUST-100438,108,18,1
CUST-100439,97,112,1
CUST-100440,101,139,1
CUST-100441,71,36,0
CUST-100442,94,88,0
CUST-100443,24,29,0
CUST-100444,32,25,0
CUST-100445,12,72,0
CUST-100446,88,149,0
CUST-100447,100,56,1
CUST-100448,45,78,1
CUST-100449,17,137,0
CUST-100450,98,151,0
CUST-100451,46,100,0
CUST-100452,46,128,0
CUST-100453,72,168,0
CUST-100454,47,59,0
CUST-100455,41,26,1
CUST-100456,114,19,1
CUST-100457,0,128,0
CUST-100458,20,92,0
CUST-100459,61,53,0
CUST-100460,17,161,0
CUST-100461,51,153,0
CUST-100462,106,105,0
CUST-100463,87,87,1
CUST-100464,25,133,1
CUST-100465,15,23,1
CUST-100466,111,11,1
CUST-100467,61,59,0
CUST-100468,0,147,0
CUST-100469,19,109,1
CUST-100470,26,105,1
CUST-100471,17,168,0
CUST-100472,100,86,0
CUST-100473,8,67,0
CUST-100474,36,152,0
CUST-100475,66,73,0
CUST-100476,0,40,0
CUST-100477,1,180,0
CUST-100478,28,155,0
CUST-100479,9,128,1
CUST-100480,48,144,1
CUST-100481,61,29,1
CUST-100482,45,132,0
CUST-100483,43,19,0
CUST-100484,119,48,1
CUST-100485,106,63,1
CUST-100486,109,138,0
CUST-100487,62,46,1
CUST-100488,4,128,1
CUST-100489,1,3,0
CUST-100490,30,68,1
CUST-100491,96,95,1
CUST-100492,104,25,1
CUST-100493,1,45,1
CUST-100494,6,101,0
CUST-100495,95,85,1
CUST-100496,86,155,0
CUST-100497,99,114,0
CUST-100498,118,86,1
CUST-100499,40,167,1
CUST-100500,57,105,0
CUST-100501,26,42,1
CUST-100502,67,21,0
CUST-100503,94,72,1
CUST-100504,110,83,1
CUST-100505,75,152,1
CUST-100506,61,138,0
CUST-100507,1,0,0
CUST-100508,98,110,1
CUST-100509,55,101,0
CUST-100510,66,156,1
CUST-100511,14,163,1
CUST-100512,19,12,0
CUST-100513,19,3,1
CUST-100514,4,84,0
CUST-100515,24,64,1
CUST-100516,4,50,1
CUST-100517,93,10,0
CUST-100518,30,162,1
CUST-100519,1,10,1
CUST-100520,87,158,1
CUST-100521,13,32,1
CUST-100522,45,34,1
CUST-100523,24,145,0
CUST-100524,70,41,0
CUST-100525,99,163,1
CUST-100526,84,137,1
CUST-100527,41,28,0
CUST-100528,24,25,0
CUST-100529,77,18,0
CUST-100530,120,106,1
CUST-100531,27,132,0
CUST-100532,80,45,1
CUST-100533,23,140,1
CUST-100534,70,83,1
CUST-100535,70,65,1
CUST-100536,66,34,1
CUST-100537,117,141,0
CUST-100538,74,63,0
CUST-100539,101,123,0
CUST-100540,73,97,0
CUST-100541,29,167,0
CUST-100542,19,83,0
CUST-100543,37,100,0
CUST-100544,10,102,1
CUST-100545,73,50,0
CUST-100546,54,93,1
CUST-100547,78,113,0
CUST-100548,109,21,0
CUST-100549,102,28,1
CUST-100550,66,66,1
CUST-100551,7,72,0
CUST-100552,34,169,1
CUST-100553,90,25,1
CUST-100554,91,5,0
CUST-100555,87,90,1
CUST-100556,49,7,1
CUST-100557,66,173,0
CUST-100558,26,167,0
CUST-100559,98,37,0
CUST-100560,112,105,1
CUST-100561,97,156,1
CUST-100562,10,176,1
CUST-100563,62,121,0
CUST-100564,95,171,0
CUST-100565,58,63,1
CUST-100566,73,152,0
CUST-100567,94,10,1
CUST-100568,36,118,0
CUST-100569,57,23,0
CUST-100570,58,151,0
CUST-100571,90,115,1
CUST-100572,5,43,1
CUST-100573,93,114,1
CUST-100574,1,117,1
CUST-100575,60,116,1
CUST-100576,104,53,0
CUST-100577,85,147,1
CUST-100578,78,169,0
CUST-100579,48,17,1
CUST-100580,35,84,1
CUST-100581,67,22,1
CUST-100582,79,90,0
CUST-100583,113,156,0
CUST-100584,15,53,1
CUST-100585,88,72,1
CUST-100586,42,87,1
CUST-100587,61,121,0
CUST-100588,59,105,0
CUST-100589,26,147,1
CUST-100590,68,42,1
CUST-100591,52,22,1
CUST-100592,14,95,0
CUST-100593,19,48,1
CUST-100594,26,9,1
CUST-100595,111,22,1
CUST-100596,39,163,0
CUST-100597,85,30,1
CUST-100598,44,140,1
CUST-100599,114,86,1
CUST-100600,11,109,1
CUST-100601,91,171,0
CUST-100602,87,164,1
CUST-100603,89,170,1
CUST-100604,61,118,0
CUST-100605,83,18,1
CUST-100606,20,123,1
CUST-100607,43,139,0
CUST-100608,105,113,0
CUST-100609,84,15,0
CUST-100610,49,157,1
CUST-100611,44,22,0
CUST-100612,6,0,1
CUST-100613,48,103,1
CUST-100614,49,92,1
CUST-100615,92,124,1
CUST-100616,54,159,0
CUST-100617,54,154,0
CUST-100618,73,93,0
CUST-100619,88,20,0
CUST-100620,11,62,1
CUST-100621,60,116,1
CUST-100622,118,152,1
CUST-100623,6,168,1
CUST-100624,108,71,1
CUST-100625,116,151,0
CUST-100626,67,8,1
CUST-100627,92,163,0
CUST-100628,59,102,1
CUST-100629,67,111,0
CUST-100630,117,136,1
CUST-100631,74,100,1
CUST-100632,86,2,0
CUST-100633,36,64,0
CUST-100634,90,30,0
CUST-100635,32,75,1
CUST-100636,9,70,0
CUST-100637,62,51,1
CUST-100638,13,113,1
CUST-100639,63,38,0
CUST-100640,65,125,1
CUST-100641,99,123,0
CUST-100642,82,23,1
CUST-100643,49,169,0
CUST-100644,80,112,0
CUST-100645,101,138,1
CUST-100646,92,10,1
CUST-100647,9,9,0
CUST-100648,1,44,0
CUST-100649,104,27,0
CUST-100650,94,173,1
CUST-100651,8,30,1
CUST-100652,74,10,0
CUST-100653,22,22,1
CUST-100654,30,44,0
CUST-100655,71,60,0
CUST-100656,98,160,0
CUST-100657,85,11,0
CUST-100658,113,116,0
CUST-100659,114,60,1
CUST-100660,41,58,0
CUST-100661,6,111,0
CUST-100662,24,161,1
CUST-100663,109,119,1
CUST-100664,21,147,0
CUST-100665,93,109,0
CUST-100666,53,11,0
CUST-100667,89,25,1
CUST-100668,37,61,0
CUST-100669,3,116,1
CUST-100670,110,160,0
CUST-100671,73,53,0
CUST-100672,46,119,0
CUST-100673,26,35,1
CUST-100674,114,68,1
CUST-100675,106,31,1
CUST-100676,120,16,0
CUST-100677,21,70,0
CUST-100678,53,174,0
CUST-100679,2,59,1
CUST-100680,89,135,1
CUST-100681,36,12,0
CUST-100682,23,44,0
CUST-100683,23,52,0
CUST-100684,38,31,0
CUST-100685,64,84,1
CUST-100686,93,122,0
CUST-100687,57,91,0
CUST-100688,10,137,1
CUST-100689,120,14,1
CUST-100690,44,78,1
CUST-100691,36,41,1
CUST-100692,60,134,1
CUST-100693,53,44,1
CUST-100694,5,77,1
CUST-100695,81,162,1
CUST-100696,35,126,0
CUST-100697,88,30,1
CUST-100698,112,177,0
CUST-100699,45,12,1
CUST-100700,21,139,1
CUST-100701,45,36,0
CUST-100702,20,26,0
CUST-100703,89,29,1
CUST-100704,46,35,1
CUST-100705,15,56,0
CUST-100706,88,28,0
CUST-100707,65,151,0
CUST-100708,12,31,0
CUST-100709,95,71,1
CUST-100710,97,3,0
CUST-100711,117,129,1
CUST-100712,48,108,0
CUST-100713,17,126,1
CUST-100714,58,153,1
CUST-100715,8,121,1
CUST-100716,86,21,0
CUST-100717,25,86,0
CUST-100718,98,148,1
CUST-100719,18,116,0
CUST-100720,6,17,1
CUST-100721,79,24,0
CUST-100722,64,66,1
CUST-100723,109,96,1
CUST-100724,55,34,1
CUST-100725,69,146,1
CUST-100726,48,157,1
CUST-100727,44,149,0
CUST-100728,7,169,0
CUST-100729,21,5,1
CUST-100730,60,150,0
CUST-100731,86,52,1
CUST-100732,63,162,0
CUST-100733,102,57,0
CUST-100734,67,121,1
CUST-100735,69,80,0
CUST-100736,23,4,0
CUST-100737,68,157,1
CUST-100738,19,175,1
CUST-100739,36,165,0
CUST-100740,31,79,1
CUST-100741,17,7,1
CUST-100742,114,21,1
CUST-100743,92,35,0
CUST-100744,11,60,0
CUST-100745,27,36,0
CUST-100746,68,95,0
CUST-100747,119,37,1
CUST-100748,6,176,0
CUST-100749,110,60,1
CUST-100750,110,41,1
CUST-100751,52,85,1
CUST-100752,77,140,1
CUST-100753,82,34,0
CUST-100754,66,166,0
CUST-100755,87,151,1
CUST-100756,48,146,0
CUST-100757,21,12,1
CUST-100758,1,134,1
CUST-100759,100,68,1
CUST-100760,36,173,0
CUST-100761,57,63,1
CUST-100762,87,54,1
CUST-100763,30,120,1
CUST-100764,50,171,1
CUST-100765,119,86,1
CUST-100766,40,11,0
CUST-100767,118,67,1
CUST-100768,84,162,1
CUST-100769,20,180,1
CUST-100770,58,126,0
CUST-100771,21,130,1
CUST-100772,117,19,0
CUST-100773,50,95,0
CUST-100774,58,160,1
CUST-100775,116,145,0
CUST-100776,11,102,1
CUST-100777,51,72,0
CUST-100778,45,170,0
CUST-100779,76,108,0
CUST-100780,5,131,1
CUST-100781,55,20,1
CUST-100782,72,12,0
CUST-100783,92,145,1
CUST-100784,100,46,1
CUST-100785,96,171,1
CUST-100786,33,172,0
CUST-100787,61,117,1
CUST-100788,88,172,1
CUST-100789,2,178,0
CUST-100790,107,160,0
CUST-100791,115,39,1
CUST-100792,106,100,0
CUST-100793,94,148,1
CUST-100794,67,4,1
CUST-100795,79,165,1
CUST-100796,29,129,0
CUST-100797,86,167,1
CUST-100798,85,123,0
CUST-100799,38,60,0
CUST-100800,105,128,0
CUST-100801,62,66,1
CUST-100802,77,171,0
CUST-100803,109,26,0
CUST-100804,37,113,1
CUST-100805,25,112,1
CUST-100806,34,95,1
CUST-100807,52,104,1
CUST-100808,66,17,0
CUST-100809,84,164,0
CUST-100810,113,174,1
CUST-100811,89,103,1
CUST-100812,10,9,1
CUST-100813,43,162,0
CUST-100814,7,95,1
CUST-100815,94,1,1
CUST-100816,91,146,0
CUST-100817,99,92,1
CUST-100818,16,121,0
CUST-100819,99,101,1
CUST-100820,18,129,0
CUST-100821,58,121,0
CUST-100822,73,74,0
CUST-100823,3,36,0
CUST-100824,94,125,0
CUST-100825,72,115,1
CUST-100826,58,115,1
CUST-100827,50,86,0
CUST-100828,80,79,0
CUST-100829,72,133,0
CUST-100830,100,52,0
CUST-100831,62,5,1
CUST-100832,14,25,0
CUST-100833,21,15,1
CUST-100834,114,82,1
CUST-100835,64,98,0
CUST-100836,52,162,0
CUST-100837,83,32,1
CUST-100838,18,95,0
CUST-100839,106,158,1
CUST-100840,87,97,1
CUST-100841,11,101,0
CUST-100842,43,162,1
CUST-100843,76,84,0
CUST-100844,52,142,1
CUST-100845,106,171,1
CUST-100846,98,178,0
CUST-100847,97,71,1
CUST-100848,35,126,0
CUST-100849,24,168,0
CUST-100850,109,58,1
CUST-100851,82,172,0
CUST-100852,63,92,0
CUST-100853,50,49,1
CUST-100854,25,42,1
CUST-100855,80,85,1
CUST-100856,30,18,1
CUST-100857,48,80,0
CUST-100858,8,26,0
CUST-100859,29,153,0
CUST-100860,86,6,1
CUST-100861,75,49,0
CUST-100862,31,35,0
CUST-100863,39,149,0
CUST-100864,75,168,0
CUST-100865,25,17,1
CUST-100866,42,157,1
CUST-100867,0,163,0
CUST-100868,104,84,1
CUST-100869,71,29,0
CUST-100870,25,72,0
CUST-100871,22,67,0
CUST-100872,30,94,1
CUST-100873,16,48,0
CUST-100874,5,157,0
CUST-100875,35,32,1
CUST-100876,96,165,1
CUST-100877,91,126,1
CUST-100878,25,115,0
CUST-100879,10,34,0
CUST-100880,43,109,1
CUST-100881,22,113,0
CUST-100882,10,70,0
CUST-100883,86,84,1
CUST-100884,1,76,1
CUST-100885,97,38,1
CUST-100886,96,119,1
CUST-100887,109,142,0
CUST-100888,106,90,1
CUST-100889,2,145,0
CUST-100890,50,16,1
CUST-100891,11,43,0
CUST-100892,8,98,1
CUST-100893,66,2,0
CUST-100894,95,17,1
CUST-100895,20,154,1
CUST-100896,105,102,0
CUST-100897,112,116,1
CUST-100898,79,110,1
CUST-100899,20,70,1
CUST-100900,13,129,1
CUST-100901,9,163,1
CUST-100902,90,34,1
CUST-100903,91,112,0
CUST-100904,68,100,0
CUST-100905,4,172,0
CUST-100906,0,12,1
CUST-100907,3,3,1
CUST-100908,65,27,1
CUST-100909,15,59,0
CUST-100910,49,54,1
CUST-100911,27,105,1
CUST-100912,12,153,1
CUST-100913,42,4,1
CUST-100914,97,31,1
CUST-100915,37,51,0
CUST-100916,40,164,0
CUST-100917,69,13,0
CUST-100918,8,125,0
CUST-100919,106,52,0
CUST-100920,31,108,0
CUST-100921,110,123,0
CUST-100922,94,110,0
CUST-100923,19,141,0
CUST-100924,61,18,1
CUST-100925,93,95,1
CUST-100926,75,18,1
CUST-100927,32,89,1
CUST-100928,4,92,0
CUST-100929,74,169,0
CUST-100930,115,20,0
CUST-100931,113,97,1
CUST-100932,26,101,1
CUST-100933,53,167,1
CUST-100934,62,46,0
CUST-100935,24,66,1
CUST-100936,15,70,0
CUST-100937,96,1,0
CUST-100938,60,86,1
CUST-100939,78,14,1
CUST-100940,15,135,1
CUST-100941,24,0,1
CUST-100942,51,156,0
CUST-100943,24,36,0
CUST-100944,57,29,1
CUST-100945,13,111,0
CUST-100946,114,171,0
CUST-100947,98,153,0
CUST-100948,71,111,0
CUST-100949,75,48,0
CUST-100950,68,48,1
CUST-100951,28,27,1
CUST-100952,58,37,1
CUST-100953,73,122,0
CUST-100954,119,57,0
CUST-100955,20,5,1
CUST-100956,36,72,0
CUST-100957,6,77,1
CUST-100958,26,55,0
CUST-100959,18,96,1
CUST-100960,15,131,1
CUST-100961,30,101,1
CUST-100962,84,22,1
CUST-100963,14,21,0
CUST-100964,12,151,0
CUST-100965,91,137,0
CUST-100966,107,149,0
CUST-100967,102,80,0
CUST-100968,96,8,0
CUST-100969,0,63,1
CUST-100970,88,80,1
CUST-100971,18,76,0
CUST-100972,54,19,1
CUST-100973,120,177,0
CUST-100974,24,95,0
CUST-100975,34,31,0
CUST-100976,99,69,0
CUST-100977,13,31,0
CUST-100978,36,141,1
CUST-100979,94,173,1
CUST-100980,18,96,1
CUST-100981,56,90,1
CUST-100982,11,78,1
CUST-100983,21,147,0
CUST-100984,65,175,0
CUST-100985,44,62,0
CUST-100986,107,34,1
CUST-100987,86,63,0
CUST-100988,72,100,0
CUST-100989,78,117,1
CUST-100990,12,110,1
CUST-100991,84,64,0
CUST-100992,34,27,1
CUST-100993,111,50,0
CUST-100994,20,170,0
CUST-100995,87,32,1
CUST-100996,44,128,0
CUST-100997,55,122,1
CUST-100998,35,29,1
CUST-100999,78,46,0
CUST-101000,24,37,1
CUST-101001,89,162,0
CUST-101002,38,28,1
CUST-101003,23,10,0
CUST-101004,23,64,1
CUST-101005,110,33,1
CUST-101006,11,27,0
CUST-101007,118,25,0
CUST-101008,19,11,0
CUST-101009,15,111,0
CUST-101010,5,144,0
CUST-101011,56,130,1
CUST-101012,73,55,0
CUST-101013,28,75,1
CUST-101014,81,37,1
CUST-101015,0,166,1
CUST-101016,52,156,1
CUST-101017,68,168,0
CUST-101018,34,52,1
CUST-101019,61,23,1
CUST-101020,2,79,0
CUST-101021,54,62,1
CUST-101022,48,98,0
CUST-101023,80,153,0
CUST-101024,17,122,1
CUST-101025,88,68,0
CUST-101026,53,36,0
CUST-101027,36,57,1
CUST-101028,9,157,1
CUST-101029,42,153,0
CUST-101030,44,26,1
CUST-101031,19,167,0
CUST-101032,54,71,0
CUST-101033,61,177,1
CUST-101034,68,136,1
CUST-101035,88,56,0
CUST-101036,17,28,0
CUST-101037,70,107,0
CUST-101038,48,6,1
CUST-101039,111,40,0
CUST-101040,104,106,0
CUST-101041,52,86,1
CUST-101042,96,44,0
CUST-101043,90,58,1
CUST-101044,51,158,0
CUST-101045,40,167,1
CUST-101046,13,19,1
CUST-101047,27,152,0
CUST-101048,72,144,0
CUST-101049,96,72,1
CUST-101050,12,84,1
CUST-101051,61,150,0
CUST-101052,91,59,0
CUST-101053,16,86,1
CUST-101054,77,19,0
CUST-101055,100,22,1
CUST-101056,46,90,0
CUST-101057,17,31,1
CUST-101058,108,159,1
CUST-101059,82,14,0
CUST-101060,51,18,0
CUST-101061,104,119,0
CUST-101062,40,87,1
CUST-101063,60,37,0
CUST-101064,60,54,0
CUST-101065,35,103,0
CUST-101066,11,109,1
CUST-101067,88,41,1
CUST-101068,74,157,0
CUST-101069,14,172,1
CUST-101070,4,55,0
