customer_id,company_name,industry,subscription_tier,annual_recurring_revenue,licensed_users,renewal_days,nps_score
CUST-100031,Evergreen Systems,Manufacturing,Professional,161415,492,81,16
CUST-100032,Atlas Solutions,Logistics,Enterprise,168960,328,340,-27
CUST-100033,Nimbus Health,Financial Services,Professional,122430,74,176,-14
CUST-100034,Apex Systems,Logistics,Professional,157060,143,23,-40
CUST-100035,Pioneer Technologies,Education,Starter,70654,97,39,80
CUST-100036,Evergreen Health,Technology,Starter,33930,442,158,6
CUST-100037,Summit Systems,Financial Services,Enterprise,225058,122,318,55
CUST-100038,Vertex Technologies,Healthcare,Starter,186160,424,211,62
CUST-100039,Nimbus Technologies,Healthcare,Professional,128619,96,103,64
CUST-100040,Summit Financial,Healthcare,Enterprise,113255,435,205,2
CUST-100041,Atlas Technologies,Logistics,Enterprise,185617,194,15,-26
CUST-100042,Nimbus Technologies,Financial Services,Enterprise,176457,34,224,37
CUST-100043,Apex Technologies,Healthcare,Enterprise,294303,145,352,52
CUST-100044,Nova Systems,Logistics,Professional,176582,201,340,68
CUST-100045,Nova Networks,Technology,Enterprise,167008,356,284,-24
CUST-100046,Vertex Logistics,Technology,Enterprise,12212,361,156,-4
CUST-100047,Pioneer Industries,Logistics,Starter,280002,253,243,61
CUST-100048,Atlas Networks,Healthcare,Starter,174749,160,116,63
CUST-100049,Pioneer Systems,Technology,Professional,113940,140,357,9
CUST-100050,Apex Systems,Technology,Starter,104215,350,357,26
CUST-100051,Nimbus Industries,Manufacturing,Professional,290466,484,287,36
CUST-100052,Atlas Industries,Manufacturing,Enterprise,260866,440,231,-7
CUST-100053,Atlas Industries,Logistics,Starter,155968,407,226,-31
CUST-100054,Evergreen Systems,Manufacturing,Starter,133247,186,197,48
CUST-100055,Nova Networks,Education,Professional,229985,227,32,-14
CUST-100056,Bright Technologies,Technology,Starter,196422,453,153,56
CUST-100057,Summit Logistics,Technology,Professional,27217,264,200,3
CUST-100058,Pioneer Health,Education,Enterprise,26138,445,202,35
CUST-100059,Nova Health,Technology,Starter,38363,344,134,8
CUST-100060,Nova Logistics,Technology,Professional,54942,187,241,-38
CUST-100061,Nimbus Solutions,Healthcare,Starter,116522,129,11,39
CUST-100062,Nimbus Financial,Technology,Enterprise,146345,357,189,-19
CUST-100063,Nimbus Solutions,Financial Services,Enterprise,208768,174,204,80
CUST-100064,BluePeak Systems,Education,Starter,194034,67,273,14
CUST-100065,Nova Industries,Healthcare,Professional,201890,21,326,74
CUST-100066,Atlas Logistics,Education,Enterprise,265491,105,239,15
CUST-100067,Summit Systems,Financial Services,Professional,139854,180,238,32
CUST-100068,Pioneer Networks,Manufacturing,Professional,123211,29,182,62
CUST-100069,Apex Financial,Healthcare,Starter,225085,299,251,31
CUST-100070,Pioneer Industries,Healthcare,Starter,166264,345,114,11
CUST-100071,Atlas Networks,Technology,Enterprise,185429,257,181,49
CUST-100072,Nimbus Financial,Financial Services,Starter,292947,133,354,-17
CUST-100073,Bright Logistics,Healthcare,Starter,167318,385,117,6
CUST-100074,Apex Solutions,Education,Professional,78206,155,327,71
CUST-100075,BluePeak Industries,Technology,Professional,190628,308,95,-34
CUST-100076,Nimbus Technologies,Technology,Starter,40106,435,78,-21
CUST-100077,Nimbus Technologies,Education,Enterprise,130325,142,268,8
CUST-100078,Bright Technologies,Financial Services,Enterprise,43578,455,313,54
CUST-100079,Nimbus Health,Manufacturing,Starter,51355,150,81,-40
CUST-100080,Apex Financial,Financial Services,Enterprise,160225,164,360,70
CUST-100081,BluePeak Financial,Technology,Starter,297507,488,116,42
CUST-100082,Apex Health,Financial Services,Enterprise,163315,51,225,-25
CUST-100083,BluePeak Industries,Technology,Starter,32898,497,222,54
CUST-100084,Summit Solutions,Logistics,Professional,33092,61,90,20
CUST-100085,Bright Technologies,Logistics,Professional,59837,107,241,4
CUST-100086,Vertex Networks,Technology,Enterprise,271768,454,148,44
CUST-100087,Nimbus Networks,Financial Services,Professional,72776,247,207,70
CUST-100088,Apex Financial,Education,Professional,273353,226,321,16
CUST-100089,Vertex Logistics,Technology,Enterprise,266128,296,63,-37
CUST-100090,Atlas Solutions,Education,Professional,60868,174,116,67
CUST-100091,Vertex Industries,Logistics,Professional,278795,346,362,-6
CUST-100092,Pioneer Health,Technology,Starter,278464,139,70,70
CUST-100093,Atlas Logistics,Healthcare,Professional,168529,493,301,34
CUST-100094,Pioneer Networks,Financial Services,Enterprise,296913,290,194,18
CUST-100095,Nova Financial,Technology,Starter,178816,307,243,50
CUST-100096,Vertex Industries,Healthcare,Starter,275345,354,303,2
CUST-100097,Pioneer Solutions,Logistics,Starter,226946,284,336,-21
CUST-100098,Nova Systems,Financial Services,Enterprise,291771,334,195,0
CUST-100099,Nimbus Financial,Logistics,Enterprise,162669,331,117,55
CUST-100100,Vertex Logistics,Healthcare,Starter,182065,242,29,-3
CUST-100101,Atlas Technologies,Education,Enterprise,106401,140,88,-18
CUST-100102,Bright Health,Manufacturing,Professional,145157,269,236,-8
CUST-100103,Atlas Health,Healthcare,Professional,193175,361,301,-2
CUST-100104,BluePeak Financial,Technology,Professional,67917,248,122,8
CUST-100105,BluePeak Solutions,Logistics,Professional,155906,373,5,32
CUST-100106,BluePeak Financial,Education,Professional,126821,441,326,-16
CUST-100107,Nimbus Solutions,Financial Services,Professional,29492,336,297,6
CUST-100108,Nova Health,Manufacturing,Starter,294805,182,188,27
CUST-100109,Pioneer Logistics,Logistics,Professional,72382,146,240,-31
CUST-100110,Atlas Networks,Healthcare,Professional,19297,448,136,28
CUST-100111,Nova Networks,Healthcare,Enterprise,134590,314,242,-37
CUST-100112,Bright Financial,Logistics,Starter,255409,483,359,-2
CUST-100113,Apex Logistics,Technology,Starter,62956,38,121,73
CUST-100114,Atlas Technologies,Education,Enterprise,93014,204,213,43
CUST-100115,BluePeak Solutions,Logistics,Professional,125911,495,228,16
CUST-100116,Evergreen Networks,Healthcare,Professional,156641,366,98,-25
CUST-100117,Summit Solutions,Healthcare,Professional,139700,354,65,60
CUST-100118,Summit Financial,Financial Services,Starter,13486,315,142,69
CUST-100119,Vertex Systems,Logistics,Starter,81102,423,8,5
CUST-100120,Vertex Logistics,Healthcare,Starter,232704,23,270,-26
CUST-100121,Evergreen Systems,Technology,Enterprise,128155,413,315,-35
CUST-100122,Apex Solutions,Technology,Professional,235490,249,352,-27
CUST-100123,Nimbus Networks,Education,Starter,46436,475,65,-5
CUST-100124,Bright Logistics,Technology,Enterprise,237548,210,51,61
CUST-100125,Pioneer Financial,Technology,Professional,249764,235,205,13
CUST-100126,BluePeak Networks,Manufacturing,Enterprise,260652,175,35,-29
CUST-100127,Evergreen Health,Education,Starter,184829,64,344,-25
CUST-100128,Apex Logistics,Education,Professional,196363,459,54,33
CUST-100129,Nimbus Networks,Education,Professional,72232,129,143,33
CUST-100130,BluePeak Solutions,Manufacturing,Professional,173996,326,174,4
CUST-100131,Vertex Solutions,Healthcare,Enterprise,290125,50,111,8
CUST-100132,BluePeak Networks,Education,Enterprise,56541,204,27,-21
CUST-100133,Nimbus Logistics,Technology,Enterprise,234305,360,249,37
CUST-100134,Atlas Systems,Financial Services,Professional,70138,401,146,46
CUST-100135,Summit Technologies,Education,Starter,16030,38,105,-2
CUST-100136,Evergreen Systems,Healthcare,Professional,237787,163,90,-24
CUST-100137,Atlas Networks,Healthcare,Professional,34178,271,224,-38
CUST-100138,Nova Technologies,Logistics,Enterprise,230991,309,149,-26
CUST-100139,Bright Industries,Logistics,Professional,58205,425,224,68
CUST-100140,Nimbus Technologies,Financial Services,Enterprise,190002,283,114,2
CUST-100141,Atlas Financial,Financial Services,Professional,89432,286,121,-27
CUST-100142,Vertex Systems,Manufacturing,Enterprise,271059,323,238,56
CUST-100143,Bright Networks,Logistics,Professional,91145,363,226,-32
CUST-100144,BluePeak Solutions,Financial Services,Enterprise,50897,422,159,19
CUST-100145,BluePeak Systems,Logistics,Starter,277849,440,197,19
CUST-100146,Bright Financial,Financial Services,Enterprise,261366,480,257,-21
CUST-100147,Evergreen Systems,Education,Enterprise,102470,430,21,-9
CUST-100148,Evergreen Logistics,Technology,Professional,189401,201,348,36
CUST-100149,Evergreen Systems,Education,Enterprise,214670,48,146,-8
CUST-100150,Nimbus Health,Financial Services,Professional,217498,185,67,36
CUST-100151,Nova Networks,Manufacturing,Enterprise,287981,301,48,42
CUST-100152,Evergreen Logistics,Manufacturing,Starter,191166,24,249,-16
CUST-100153,Nimbus Solutions,Logistics,Professional,80707,166,306,8
CUST-100154,Pioneer Solutions,Technology,Professional,136534,384,228,38
CUST-100155,Summit Logistics,Technology,Starter,204854,288,348,33
CUST-100156,Atlas Technologies,Manufacturing,Starter,84560,272,129,-34
CUST-100157,Atlas Systems,Financial Services,Starter,96049,379,140,17
CUST-100158,Summit Industries,Financial Services,Starter,229525,61,28,10
CUST-100159,Evergreen Financial,Healthcare,Professional,63948,56,333,2
CUST-100160,Pioneer Health,Logistics,Professional,247196,161,316,-40
CUST-100161,Vertex Technologies,Healthcare,Professional,136591,125,155,-25
CUST-100162,Nimbus Industries,Education,Enterprise,20616,47,324,25
CUST-100163,Apex Networks,Manufacturing,Enterprise,230401,234,96,45
CUST-100164,Atlas Solutions,Technology,Professional,34824,49,326,9
CUST-100165,Nimbus Networks,Manufacturing,Enterprise,66349,418,298,54
CUST-100166,Atlas Networks,Logistics,Starter,255596,195,357,21
CUST-100167,Pioneer Solutions,Financial Services,Starter,34967,381,103,73
CUST-100168,Atlas Industries,Financial Services,Starter,112193,432,147,5
CUST-100169,Nimbus Networks,Technology,Professional,242548,154,198,3
CUST-100170,Atlas Logistics,Healthcare,Enterprise,234560,203,41,15
CUST-100171,Nimbus Systems,Financial Services,Enterprise,167000,179,157,17
CUST-100172,Pioneer Networks,Technology,Starter,196842,368,315,15
CUST-100173,Nova Networks,Education,Enterprise,95879,358,16,-22
CUST-100174,Vertex Systems,Manufacturing,Enterprise,204061,32,186,9
CUST-100175,Pioneer Networks,Financial Services,Professional,52310,362,294,-23
CUST-100176,BluePeak Financial,Healthcare,Starter,109542,347,256,26
CUST-100177,BluePeak Industries,Manufacturing,Enterprise,161724,149,356,77
CUST-100178,Nimbus Industries,Manufacturing,Enterprise,245366,451,45,63
CUST-100179,Nimbus Logistics,Financial Services,Starter,103273,378,186,25
CUST-100180,Pioneer Solutions,Financial Services,Enterprise,205415,136,240,62
CUST-100181,BluePeak Technologies,Logistics,Enterprise,262958,48,270,12
CUST-100182,Evergreen Systems,Technology,Professional,283245,79,177,-24
CUST-100183,Vertex Technologies,Education,Starter,77096,408,266,-21
CUST-100184,Summit Networks,Education,Professional,53345,493,129,-15
CUST-100185,BluePeak Systems,Education,Enterprise,100413,335,304,80
CUST-100186,Bright Solutions,Healthcare,Starter,35835,446,329,58
CUST-100187,Bright Technologies,Education,Enterprise,27878,407,255,73
CUST-100188,Summit Technologies,Financial Services,Professional,50258,262,353,-33
CUST-100189,Summit Networks,Education,Starter,175883,252,164,53
CUST-100190,Evergreen Systems,Financial Services,Starter,256565,404,63,-6
CUST-100191,BluePeak Technologies,Education,Professional,142165,40,82,64
CUST-100192,Vertex Industries,Education,Professional,273493,112,158,23
CUST-100193,Summit Networks,Healthcare,Starter,159511,138,254,36
CUST-100194,Atlas Solutions,Healthcare,Professional,82220,161,136,53
CUST-100195,Nova Solutions,Education,Enterprise,114055,38,186,30
CUST-100196,Atlas Logistics,Education,Enterprise,74291,406,66,-28
CUST-100197,Vertex Financial,Education,Enterprise,222442,401,257,-35
CUST-100198,Pioneer Industries,Manufacturing,Enterprise,282273,426,72,1
CUST-100199,Bright Logistics,Education,Professional,277979,216,261,28
CUST-100200,Apex Networks,Financial Services,Enterprise,69464,258,214,34
CUST-100201,Pioneer Logistics,Logistics,Enterprise,131298,320,27,34
CUST-100202,Summit Solutions,Education,Enterprise,69616,90,98,-38
CUST-100203,Summit Technologies,Education,Enterprise,259257,226,32,50
CUST-100204,Pioneer Technologies,Financial Services,Starter,252996,354,273,3
CUST-100205,Pioneer Financial,Manufacturing,Professional,168499,327,116,80
CUST-100206,Pioneer Networks,Technology,Professional,155370,368,148,-25
CUST-100207,Nova Networks,Manufacturing,Professional,34054,473,148,51
CUST-100208,Pioneer Financial,Manufacturing,Enterprise,154151,397,288,49
CUST-100209,Apex Financial,Logistics,Starter,39520,139,52,12
CUST-100210,Vertex Solutions,Education,Starter,225336,363,335,79
CUST-100211,Summit Logistics,Financial Services,Professional,43018,348,46,43
CUST-100212,Vertex Technologies,Manufacturing,Starter,220139,482,254,-17
CUST-100213,BluePeak Systems,Financial Services,Professional,250209,19,329,29
CUST-100214,Summit Systems,Financial Services,Starter,252603,154,332,-8
CUST-100215,BluePeak Financial,Manufacturing,Enterprise,224593,419,219,25
CUST-100216,Vertex Industries,Financial Services,Starter,15580,109,134,9
CUST-100217,Bright Solutions,Financial Services,Enterprise,200508,169,355,-10
CUST-100218,Vertex Technologies,Logistics,Enterprise,175042,172,354,-25
CUST-100219,Summit Financial,Manufacturing,Professional,92313,329,233,55
CUST-100220,Atlas Financial,Manufacturing,Enterprise,54923,402,270,17
CUST-100221,Bright Systems,Healthcare,Enterprise,277020,484,104,33
CUST-100222,Atlas Industries,Healthcare,Enterprise,119689,452,299,22
CUST-100223,Apex Industries,Manufacturing,Enterprise,229802,429,234,32
CUST-100224,Apex Technologies,Financial Services,Starter,126243,385,297,-31
CUST-100225,Apex Systems,Technology,Starter,162518,292,210,-17
CUST-100226,Nova Industries,Technology,Professional,54074,206,350,44
CUST-100227,Vertex Technologies,Education,Starter,128753,75,2,56
CUST-100228,Nova Financial,Manufacturing,Professional,193487,287,80,-5
CUST-100229,Nova Solutions,Manufacturing,Starter,47279,429,52,36
CUST-100230,Apex Technologies,Technology,Starter,294989,140,112,56
CUST-100231,BluePeak Financial,Logistics,Enterprise,179197,272,296,36
CUST-100232,Vertex Financial,Technology,Professional,156259,169,32,31
CUST-100233,Pioneer Solutions,Financial Services,Enterprise,211834,299,269,0
CUST-100234,Nova Health,Education,Professional,138336,168,116,-2
CUST-100235,Apex Technologies,Technology,Enterprise,289868,483,69,9
CUST-100236,Nimbus Industries,Financial Services,Starter,292827,346,98,-34
CUST-100237,Nimbus Financial,Education,Enterprise,125779,462,246,-14
CUST-100238,Apex Financial,Manufacturing,Enterprise,73507,480,246,77
CUST-100239,Summit Networks,Financial Services,Professional,256449,218,274,43
CUST-100240,Pioneer Industries,Healthcare,Enterprise,258148,277,164,77
CUST-100241,Bright Financial,Logistics,Starter,20503,38,134,30
CUST-100242,Vertex Financial,Financial Services,Starter,211145,166,292,66
CUST-100243,Pioneer Industries,Technology,Starter,196641,146,87,-23
CUST-100244,Atlas Solutions,Education,Starter,50970,484,343,-34
CUST-100245,Summit Systems,Logistics,Starter,16792,446,112,24
CUST-100246,Pioneer Solutions,Healthcare,Enterprise,227659,352,7,-38
CUST-100247,Atlas Technologies,Manufacturing,Starter,62496,23,269,-21
CUST-100248,Evergreen Logistics,Technology,Starter,207586,432,208,18
CUST-100249,Nimbus Solutions,Healthcare,Professional,210843,168,194,30
CUST-100250,Vertex Systems,Technology,Professional,185681,374,290,69
CUST-100251,Summit Industries,Financial Services,Starter,50979,132,351,78
CUST-100252,Evergreen Solutions,Manufacturing,Enterprise,87597,106,365,65
CUST-100253,Bright Financial,Education,Professional,295410,98,170,9
CUST-100254,Evergreen Solutions,Healthcare,Professional,133710,271,39,3
CUST-100255,Evergreen Solutions,Logistics,Professional,248218,411,252,-11
CUST-100256,Bright Technologies,Healthcare,Enterprise,166863,110,127,51
CUST-100257,Vertex Technologies,Financial Services,Professional,67863,209,47,-40
CUST-100258,BluePeak Systems,Manufacturing,Starter,110247,404,221,17
CUST-100259,Apex Systems,Financial Services,Enterprise,60792,67,306,36
CUST-100260,Nova Technologies,Healthcare,Enterprise,139266,164,293,26
CUST-100261,BluePeak Logistics,Financial Services,Professional,88511,86,33,-19
CUST-100262,Nimbus Networks,Financial Services,Starter,271943,262,305,38
CUST-100263,Apex Technologies,Financial Services,Enterprise,211171,170,169,16
CUST-100264,Evergreen Financial,Technology,Professional,105133,168,204,0
CUST-100265,Summit Networks,Technology,Professional,218011,309,187,-26
CUST-100266,Atlas Solutions,Logistics,Professional,121916,364,225,62
CUST-100267,Nova Industries,Manufacturing,Enterprise,170771,434,124,-8
CUST-100268,Pioneer Industries,Education,Professional,292162,52,260,78
CUST-100269,Apex Networks,Logistics,Enterprise,56555,293,56,58
CUST-100270,Bright Solutions,Education,Enterprise,221514,100,170,61
CUST-100271,Summit Financial,Technology,Professional,217066,147,238,58
CUST-100272,Apex Industries,Healthcare,Professional,230090,191,44,-26
CUST-100273,Evergreen Industries,Manufacturing,Enterprise,265192,174,179,20
CUST-100274,Nimbus Logistics,Healthcare,Enterprise,72337,178,12,68
CUST-100275,Summit Health,Education,Starter,185533,491,287,14
CUST-100276,Vertex Health,Logistics,Enterprise,238562,337,203,-37
CUST-100277,Nova Technologies,Healthcare,Enterprise,124615,318,106,-5
CUST-100278,Atlas Health,Financial Services,Professional,115323,424,235,-26
CUST-100279,Nova Technologies,Education,Starter,194412,320,181,68
CUST-100280,Bright Systems,Logistics,Starter,176199,485,61,-10
CUST-100281,Vertex Technologies,Technology,Enterprise,84282,370,295,9
CUST-100282,Vertex Industries,Financial Services,Starter,110093,299,162,67
CUST-100283,Pioneer Health,Manufacturing,Professional,276995,19,335,23
CUST-100284,Pioneer Industries,Manufacturing,Starter,28179,378,113,-3
CUST-100285,Pioneer Industries,Education,Enterprise,71355,101,294,-26
CUST-100286,Apex Industries,Education,Starter,234903,292,53,54
CUST-100287,Apex Industries,Financial Services,Professional,57604,462,225,70
CUST-100288,Bright Networks,Logistics,Enterprise,236482,430,85,38
CUST-100289,Apex Networks,Education,Professional,294469,427,87,1
CUST-100290,Atlas Systems,Manufacturing,Professional,43082,454,142,70
CUST-100291,Vertex Networks,Manufacturing,Enterprise,217888,142,251,-22
CUST-100292,Pioneer Systems,Logistics,Starter,223209,207,264,55
CUST-100293,Evergreen Solutions,Logistics,Starter,252359,264,326,45
CUST-100294,Nova Financial,Technology,Professional,181274,126,146,3
CUST-100295,Evergreen Solutions,Healthcare,Starter,252953,418,9,-25
CUST-100296,Apex Technologies,Manufacturing,Enterprise,81160,248,333,-2
CUST-100297,Evergreen Logistics,Healthcare,Professional,98782,350,27,10
CUST-100298,Nimbus Systems,Healthcare,Starter,261984,234,40,-24
CUST-100299,Apex Networks,Healthcare,Professional,81297,19,245,-31
CUST-100300,Evergreen Networks,Financial Services,Starter,212656,67,69,42
CUST-100301,Vertex Industries,Financial Services,Enterprise,123702,327,322,55
CUST-100302,Summit Systems,Healthcare,Starter,76569,455,302,53
CUST-100303,Vertex Financial,Financial Services,Enterprise,56170,420,128,30
CUST-100304,Apex Logistics,Manufacturing,Enterprise,279136,413,97,55
CUST-100305,Summit Industries,Technology,Starter,138396,416,256,41
CUST-100306,Evergreen Health,Technology,Enterprise,232653,199,188,29
CUST-100307,Bright Systems,Healthcare,Professional,125111,23,21,78
CUST-100308,Atlas Technologies,Technology,Enterprise,222909,336,43,41
CUST-100309,Nimbus Logistics,Healthcare,Enterprise,118534,157,80,28
CUST-100310,Nova Financial,Healthcare,Starter,57200,173,223,-26
CUST-100311,Vertex Systems,Healthcare,Enterprise,83938,173,360,-39
CUST-100312,Evergreen Health,Logistics,Professional,73895,100,16,2
CUST-100313,Bright Systems,Technology,Professional,279796,149,185,-33
CUST-100314,Vertex Logistics,Healthcare,Enterprise,72468,203,117,54
CUST-100315,Apex Industries,Financial Services,Professional,90687,140,92,79
CUST-100316,Evergreen Financial,Technology,Enterprise,179738,129,139,65
CUST-100317,Apex Health,Manufacturing,Enterprise,36079,272,206,-32
CUST-100318,Nimbus Industries,Healthcare,Professional,117209,182,150,32
CUST-100319,Evergreen Industries,Manufacturing,Enterprise,298554,252,126,-21
CUST-100320,Atlas Networks,Logistics,Enterprise,17030,134,172,-40
CUST-100321,Summit Financial,Technology,Professional,43402,68,73,51
CUST-100322,Atlas Technologies,Logistics,Professional,252364,474,44,34
CUST-100323,Bright Solutions,Technology,Enterprise,80528,53,122,-3
CUST-100324,Evergreen Networks,Technology,Professional,134479,373,39,80
CUST-100325,Nimbus Health,Technology,Professional,176643,94,209,-25
CUST-100326,Pioneer Logistics,Healthcare,Starter,94635,172,352,-2
CUST-100327,Evergreen Health,Healthcare,Enterprise,142138,125,183,10
CUST-100328,Vertex Solutions,Technology,Professional,142994,148,49,19
CUST-100329,Apex Financial,Manufacturing,Starter,222020,21,191,47
CUST-100330,Bright Logistics,Healthcare,Starter,45801,313,102,75
CUST-100331,Evergreen Systems,Healthcare,Professional,38548,478,87,78
CUST-100332,Nova Technologies,Manufacturing,Professional,124573,30,96,-5
CUST-100333,Bright Financial,Logistics,Professional,273562,329,211,72
CUST-100334,Nova Health,Technology,Starter,287678,158,128,40
CUST-100335,Evergreen Industries,Education,Professional,192372,415,290,24
CUST-100336,Evergreen Financial,Healthcare,Professional,42718,28,242,27
CUST-100337,Nimbus Financial,Logistics,Starter,151736,96,274,64
CUST-100338,Nova Networks,Manufacturing,Starter,136020,309,304,0
CUST-100339,Bright Solutions,Logistics,Enterprise,196382,482,291,32
CUST-100340,BluePeak Health,Technology,Starter,59320,292,29,-11
CUST-100341,Evergreen Financial,Manufacturing,Professional,105040,15,166,-33
CUST-100342,Nimbus Networks,Healthcare,Professional,219406,411,301,-28
CUST-100343,Nova Industries,Logistics,Professional,103332,95,363,31
CUST-100344,Bright Health,Technology,Professional,166411,129,66,-18
CUST-100345,Bright Solutions,Manufacturing,Enterprise,178837,450,314,-12
CUST-100346,Evergreen Systems,Manufacturing,Professional,179519,87,86,41
CUST-100347,Apex Logistics,Manufacturing,Starter,47543,243,180,-8
CUST-100348,Pioneer Technologies,Manufacturing,Professional,270516,212,194,4
CUST-100349,Bright Financial,Manufacturing,Professional,50644,418,18,-3
CUST-100350,Evergreen Health,Technology,Starter,51322,52,281,80
CUST-100351,Apex Technologies,Logistics,Starter,239646,375,81,-34
CUST-100352,Atlas Logistics,Logistics,Professional,167923,224,122,-28
CUST-100353,Apex Networks,Healthcare,Professional,57942,93,151,65
CUST-100354,Nimbus Solutions,Manufacturing,Starter,164993,117,42,20
CUST-100355,Pioneer Logistics,Healthcare,Enterprise,297278,256,199,-17
CUST-100356,Pioneer Solutions,Financial Services,Professional,255824,110,135,-12
CUST-100357,Nimbus Systems,Logistics,Professional,295875,92,212,56
CUST-100358,Nova Technologies,Education,Enterprise,260944,445,294,72
CUST-100359,Apex Health,Healthcare,Professional,102638,217,86,-13
CUST-100360,Nimbus Technologies,Manufacturing,Enterprise,89530,231,305,-7
CUST-100361,Atlas Technologies,Education,Professional,156808,213,267,18
CUST-100362,Nova Health,Manufacturing,Enterprise,64535,72,55,32
CUST-100363,Nova Logistics,Technology,Enterprise,266586,464,293,37
CUST-100364,Vertex Technologies,Healthcare,Professional,185798,221,354,-10
CUST-100365,Evergreen Solutions,Financial Services,Professional,175026,474,144,67
CUST-100366,Summit Health,Financial Services,Enterprise,244317,459,165,-6
CUST-100367,Pioneer Financial,Technology,Enterprise,265996,111,265,71
CUST-100368,BluePeak Technologies,Manufacturing,Enterprise,27177,48,89,-16
CUST-100369,Apex Industries,Healthcare,Professional,116390,142,141,7
CUST-100370,Nimbus Solutions,Manufacturing,Professional,268265,340,305,17
CUST-100371,Vertex Logistics,Logistics,Enterprise,59391,191,146,-37
CUST-100372,Summit Financial,Logistics,Starter,153077,453,334,12
CUST-100373,Vertex Health,Education,Starter,129319,257,130,37
CUST-100374,Nova Networks,Technology,Professional,126404,231,239,-2
CUST-100375,Nimbus Solutions,Education,Enterprise,208204,314,288,42
CUST-100376,Nimbus Industries,Healthcare,Professional,156956,365,328,1
CUST-100377,Vertex Financial,Healthcare,Enterprise,223863,111,339,0
CUST-100378,BluePeak Technologies,Technology,Professional,30517,166,299,50
CUST-100379,Summit Industries,Logistics,Professional,277979,386,154,68
CUST-100380,Nimbus Industries,Manufacturing,Enterprise,147608,165,287,57
CUST-100381,Nimbus Financial,Financial Services,Starter,173001,350,216,60
CUST-100382,BluePeak Industries,Healthcare,Professional,40142,314,325,34
CUST-100383,Summit Systems,Logistics,Professional,289787,256,153,12
CUST-100384,Evergreen Technologies,Education,Professional,87090,117,162,70
CUST-100385,Vertex Networks,Logistics,Starter,14471,185,232,-5
CUST-100386,Nimbus Health,Education,Professional,237134,265,207,14
CUST-100387,Atlas Financial,Logistics,Professional,19380,34,165,56
CUST-100388,Apex Financial,Manufacturing,Enterprise,192538,361,160,-24
CUST-100389,Nimbus Solutions,Financial Services,Professional,251036,100,267,36
CUST-100390,Pioneer Networks,Manufacturing,Starter,223493,190,10,-11
CUST-100391,Apex Health,Healthcare,Professional,31589,390,193,72
CUST-100392,Apex Systems,Logistics,Starter,37289,319,354,-26
CUST-100393,BluePeak Industries,Logistics,Starter,119738,295,356,47
CUST-100394,Nimbus Logistics,Education,Enterprise,83913,353,215,66
CUST-100395,Nimbus Systems,Technology,Starter,116726,159,135,66
CUST-100396,Vertex Solutions,Education,Professional,120891,166,353,79
CUST-100397,Nimbus Systems,Education,Enterprise,271052,21,77,-29
CUST-100398,BluePeak Financial,Technology,Professional,150477,478,238,-34
CUST-100399,BluePeak Networks,Logistics,Professional,235344,451,60,-28
CUST-100400,Vertex Health,Financial Services,Professional,241488,451,319,-6
CUST-100401,Evergreen Health,Healthcare,Professional,221846,432,234,-6
